"feature","center","scale"
"dim_83",0.113054949964615,0.405554453262041
"dim_84",-0.265941170088828,0.568290024450103
"dim_85",-0.830435570959557,0.46215427154548
"dim_86",0.127185066738859,0.612639894382276
"dim_87",1.39975399860042,0.561497076326679
"dim_88",0.066158457657962,0.563615179144534
"dim_89",-1.92244237813544,0.465895415191543
"dim_90",-0.445005052332628,0.570799168476026
"dim_91",0.614556049208771,0.644269866226853
"dim_92",-1.29600675559424,0.470029041546174
"dim_93",-1.00782055526258,0.46998065536843
"dim_94",0.750174099038494,0.527605568615449
"dim_95",0.2427420174703,0.475353385156313
"dim_96",-0.0977301245461778,0.546094994209848
"dim_97",-1.43201762914975,0.496466092846799
"dim_98",1.50427171825729,0.538400091308208
"dim_99",0.680883507120443,0.418606937333457
"dim_100",-3.00757947069533,0.322658125956251
"dim_101",-0.1887331706229,0.506664679554411
"dim_102",-0.0254266953390547,0.432592160571676
"dim_103",-0.109284553151241,0.408987522626877
"dim_104",-1.25685742513296,0.641445133669879
"dim_105",0.689325181363111,0.595219622895878
"dim_106",-0.475837463092931,0.40642571024688
"dim_107",1.1043541128331,0.412134554657704
"dim_108",-1.13489963944922,0.486146162692095
"dim_109",0.215023366261417,0.44349869465476
"dim_110",0.566522979559971,0.497796946733219
"dim_111",-0.159819224282097,0.436897319645451
"dim_112",0.0693013352822473,0.219417436170295
"dim_113",-1.33947745586963,0.357113025830057
"dim_114",-0.941827997610845,0.473067890887831
"dim_115",0.698861626868552,0.432960696621956
"dim_116",0.0250984055480543,0.581690496318405
"dim_117",0.381394475683114,0.494746979586841
"dim_118",0.268945043273221,0.57443103573278
"dim_119",0.24780574501393,0.328886648926625
"dim_120",-0.0680809040197191,0.46273219059289
"dim_121",-1.00886586960009,0.475105268434999
"dim_122",-0.676839765972468,0.458059953662743
"dim_123",-0.41495247682076,0.503692166419789
"dim_124",0.438250190168223,0.415573670962689
"dim_125",-0.166494304826483,0.489879450308333
"dim_126",-0.126208091608467,0.540836643231308
"dim_127",-0.346332302108466,0.388228501717734
"dim_128",-0.00304656988604272,0.389256826882485
"dim_129",-0.377066108978482,0.612078669261295
"dim_130",-0.327229594175476,0.454264266194054
"dim_131",0.63073509914325,0.470842866079905
"dim_132",0.945033172206914,0.691847847277567
"dim_133",0.314974088063265,0.47053795699795
"dim_134",1.41112578988392,0.750347519574521
"dim_135",0.399884563484328,0.442003351668613
"dim_136",-0.173447701311423,0.519111775562002
"dim_137",-0.608385759748598,0.483937709949807
"dim_138",-0.634912876019928,0.47297859297432
"dim_139",-0.458219478983789,0.409046110023318
"dim_140",-0.921335200493799,0.476229574742518
"dim_141",-0.7524939377812,0.576353722989486
"dim_142",0.359499350384353,0.444981212661946
"dim_143",0.489071101067647,0.380887007611743
"dim_144",-0.64216858639897,0.60984000840111
"dim_145",-0.107584176803047,0.50205787378656
"dim_146",1.06513403416314,0.399103612944784
"dim_147",-0.237604878473274,0.351431570469975
"dim_148",0.286852577270227,0.594104678965446
"dim_149",0.0396610628640121,0.514731655224325
"dim_150",0.335357837743582,0.476712493829129
"dim_151",0.47181675621566,0.449155732148687
"dim_152",-1.26164350774773,0.517043285803037
"dim_153",1.01887567125241,0.510640843515291
"dim_154",0.0274189408571321,0.414046075230296
"dim_155",0.190820853212635,0.385469491857675
"dim_156",-1.61974784275715,0.787975569903092
"dim_157",0.479432894860176,0.464106964551486
"dim_158",-0.17464210662862,0.482563949000165
"dim_159",1.20042288348554,0.611671446796869
"dim_160",-0.706884507563441,0.517363354662889
"dim_161",-0.584778416537224,0.589602803175924
"dim_162",-0.624890154366322,0.61957088974069
"dim_163",0.201459117071267,0.501482585188513
"dim_164",0.308551800297821,0.415747847146663
"dim_165",-0.523377767968935,0.355531137220993
"dim_166",0.69145692726399,0.326168500735044
"dim_167",1.54708820562413,0.663175704990195
"dim_168",-0.283818305408622,0.421962841505227
"dim_169",1.30615340331767,0.461340030685004
"dim_170",-0.186619686705873,0.616667816795729
"dim_171",-0.279994036287114,0.463410540631476
"dim_172",-1.47015279582206,0.458697370405725
"dim_173",0.0340729640727427,0.582131895130988
"dim_174",0.424447373186109,0.567922330341648
"dim_175",1.20342090388443,0.518773832899688
"dim_176",-1.48764902831035,0.582029209065302
"dim_177",0.332285395491326,0.425462615107697
